book_id,chunk_id,experiment
26854,11,"They gossiped while they waited for the administrator, and when Mackintosh came in they greeted him.

 ""_Talofa li._ ""

He returned their greeting and sat down at his desk. He began to write, working on a report which the governor of Samoa had been clamouring for and which Walker, with his usual dilatoriness, had neglected to prepare. Mackintosh as he made his notes reflected vindictively that Walker was late with his report because he was so illiterate that he had an invincible distaste for anything to do with pens and paper; and now when it was at last ready, concise and neatly official, he would accept his subordinate's work without a word of appreciation, with a sneer rather or a gibe, and send it on to his own superior as though it were his own composition."
26854,12,"Mackintosh as he made his notes reflected vindictively that Walker was late with his report because he was so illiterate that he had an invincible distaste for anything to do with pens and paper; and now when it was at last ready, concise and neatly official, he would accept his subordinate's work without a word of appreciation, with a sneer rather or a gibe, and send it on to his own superior as though it were his own composition. He could not have written a word of it. Mackintosh thought with rage that if his chief pencilled in some insertion it would be childish in expression and faulty in language. If he remonstrated or sought to put his meaning into an intelligible phrase, Walker would fly into a passion and cry:

""What the hell do I care about grammar? That's what I want to say and that's how I want to say it."
26854,13,"That's what I want to say and that's how I want to say it. ""

At last Walker came in. The natives surrounded him as he entered, trying to get his immediate attention, but he turned on them roughly and told them to sit down and hold their tongues. He threatened that if they were not quiet he would have them all turned out and see none of them that day. He nodded to Mackintosh.

"
26854,14,"He nodded to Mackintosh.

 ""Hulloa, Mac; up at last? I don't know how you can waste the best part of the day in bed. You ought to have been up before dawn like me. Lazy beggar."
26854,15,"Lazy beggar. ""

He threw himself heavily into his chair and wiped his face with a large bandana.

 ""By heaven, I've got a thirst. ""

He turned to the policeman who stood at the door, a picturesque figure in his white jacket and _lava-lava_, the loin cloth of the Samoan, and told him to bring _kava_. The _kava_ bowl stood on the floor in the corner of the room, and the policeman filled a half coconut shell and brought it to Walker."
26854,16,"The _kava_ bowl stood on the floor in the corner of the room, and the policeman filled a half coconut shell and brought it to Walker. He poured a few drops on the ground, murmured the customary words to the company, and drank with relish. Then he told the policeman to serve the waiting natives, and the shell was handed to each one in order of birth or importance and emptied with the same ceremonies.

 Then he set about the day's work. He was a little man, considerably less than of middle height, and enormously stout; he had a large, fleshy face, clean-shaven, with the cheeks hanging on each side in great dew-laps, and three vast chins; his small features were all dissolved in fat; and, but for a crescent of white hair at the back of his head, he was completely bald."
26854,17,"He was a little man, considerably less than of middle height, and enormously stout; he had a large, fleshy face, clean-shaven, with the cheeks hanging on each side in great dew-laps, and three vast chins; his small features were all dissolved in fat; and, but for a crescent of white hair at the back of his head, he was completely bald. He reminded you of Mr Pickwick. He was grotesque, a figure of fun, and yet, strangely enough, not without dignity. His blue eyes, behind large gold-rimmed spectacles, were shrewd and vivacious, and there was a great deal of determination in his face. He was sixty, but his native vitality triumphed over advancing years."
26854,18,"He was sixty, but his native vitality triumphed over advancing years. Notwithstanding his corpulence his movements were quick, and he walked with a heavy, resolute tread as though he sought to impress his weight upon the earth. He spoke in a loud, gruff voice.

 It was two years now since Mackintosh had been appointed Walker's assistant. Walker, who had been for a quarter of a century administrator of Talua, one of the larger islands in the Samoan group, was a man known in person or by report through the length and breadth of the South Seas; and it was with lively curiosity that Mackintosh looked forward to his first meeting with him."
26854,19,"Walker, who had been for a quarter of a century administrator of Talua, one of the larger islands in the Samoan group, was a man known in person or by report through the length and breadth of the South Seas; and it was with lively curiosity that Mackintosh looked forward to his first meeting with him. For one reason or another he stayed a couple of weeks at Apia before he took up his post and both at Chaplin's hotel and at the English club he heard innumerable stories about the administrator. He thought now with irony of his interest in them. Since then he had heard them a hundred times from Walker himself. Walker knew that he was a character, and, proud of his reputation, deliberately acted up to it."
26854,20,"Walker knew that he was a character, and, proud of his reputation, deliberately acted up to it. He was jealous of his ""legend"" and anxious that you should know the exact details of any of the celebrated stories that were told of him. He was ludicrously angry with anyone who had told them to the stranger incorrectly.

 There was a rough cordiality about Walker which Mackintosh at first found not unattractive, and Walker, glad to have a listener to whom all he said was fresh, gave of his best. He was good-humoured, hearty, and considerate."
26854,21,"He was good-humoured, hearty, and considerate. To Mackintosh, who had lived the sheltered life of a government official in London till at the age of thirty-four an attack of pneumonia, leaving him with the threat of tuberculosis, had forced him to seek a post in the Pacific, Walker's existence seemed extraordinarily romantic. The adventure with which he started on his conquest of circumstance was typical of the man. He ran away to sea when he was fifteen and for over a year was employed in shovelling coal on a collier. He was an undersized boy and both men and mates were kind to him, but the captain for some reason conceived a savage dislike of him."
26854,22,"He was an undersized boy and both men and mates were kind to him, but the captain for some reason conceived a savage dislike of him. He used the lad cruelly so that, beaten and kicked, he often could not sleep for the pain that racked his limbs. He loathed the captain with all his soul. Then he was given a tip for some race and managed to borrow twenty-five pounds from a friend he had picked up in Belfast. He put it on the horse, an outsider, at long odds."
26854,23,"He put it on the horse, an outsider, at long odds. He had no means of repaying the money if he lost, but it never occurred to him that he could lose. He felt himself in luck. The horse won and he found himself with something over a thousand pounds in hard cash. Now his chance had come."
26854,24,"Now his chance had come. He found out who was the best solicitor in the town--the collier lay then somewhere on the Irish coast--went to him, and, telling him that he heard the ship was for sale, asked him to arrange the purchase for him. The solicitor was amused at his small client, he was only sixteen and did not look so old, and, moved perhaps by sympathy, promised not only to arrange the matter for him but to see that he made a good bargain. After a little while Walker found himself the owner of the ship. He went back to her and had what he described as the most glorious moment of his life when he gave the skipper notice and told him that he must get off _his_ ship in half an hour."
26854,25,"He went back to her and had what he described as the most glorious moment of his life when he gave the skipper notice and told him that he must get off _his_ ship in half an hour. He made the mate captain and sailed on the collier for another nine months, at the end of which he sold her at a profit.

 He came out to the islands at the age of twenty-six as a planter. He was one of the few white men settled in Talua at the time of the German occupation and had then already some influence with the natives. The Germans made him administrator, a position which he occupied for twenty years, and when the island was seized by the British he was confirmed in his post."
26854,26,"The Germans made him administrator, a position which he occupied for twenty years, and when the island was seized by the British he was confirmed in his post. He ruled the island despotically, but with complete success. The prestige of this success was another reason for the interest that Mackintosh took in him.

 But the two men were not made to get on. Mackintosh was an ugly man, with ungainly gestures, a tall thin fellow, with a narrow chest and bowed shoulders."
26854,27,"Mackintosh was an ugly man, with ungainly gestures, a tall thin fellow, with a narrow chest and bowed shoulders. He had sallow, sunken cheeks, and his eyes were large and sombre. He was a great reader, and when his books arrived and were unpacked Walker came over to his quarters and looked at them. Then he turned to Mackintosh with a coarse laugh.

 ""What in Hell have you brought all this muck for?"" he asked.

"
26854,28,"""What in Hell have you brought all this muck for?"" he asked.

 Mackintosh flushed darkly.

 ""I'm sorry you think it muck. I brought my books because I want to read them. ""

""When you said you'd got a lot of books coming I thought there'd be something for me to read."
26854,29,"""

""When you said you'd got a lot of books coming I thought there'd be something for me to read. Haven't you got any detective stories?""

""Detective stories don't interest me.""

 ""You're a damned fool then.""

""I'm content that you should think so.""

 Every mail brought Walker a mass of periodical literature, papers from New Zealand and magazines from America, and it exasperated him that Mackintosh showed his contempt for these ephemeral publications. He had no patience with the books that absorbed Mackintosh's leisure and thought it only a pose that he read Gibbon's _Decline and Fall_ or Burton's _"
26854,30,"He had no patience with the books that absorbed Mackintosh's leisure and thought it only a pose that he read Gibbon's _Decline and Fall_ or Burton's _ Anatomy of Melancholy_. And since he had never learned to put any restraint on his tongue, he expressed his opinion of his assistant freely. Mackintosh began to see the real man, and under the boisterous good-humour he discerned a vulgar cunning which was hateful; he was vain and domineering, and it was strange that he had notwithstanding a shyness which made him dislike people who were not quite of his kidney. He judged others, na\xc3\xafvely, by their language, and if it was free from the oaths and the obscenity which made up the greater part of his own conversation, he looked upon them with suspicion."
26854,31,"He judged others, na\xc3\xafvely, by their language, and if it was free from the oaths and the obscenity which made up the greater part of his own conversation, he looked upon them with suspicion. In the evening the two men played piquet. He played badly but vaingloriously, crowing over his opponent when he won and losing his temper when he lost. On rare occasions a couple of planters or traders would drive over to play bridge, and then Walker showed himself in what Mackintosh considered a characteristic light. He played regardless of his partner, calling up in his desire to play the hand, and argued interminably, beating down opposition by the loudness of his voice."
26854,32,"He played regardless of his partner, calling up in his desire to play the hand, and argued interminably, beating down opposition by the loudness of his voice. He constantly revoked, and when he did so said with an ingratiating whine: ""Oh, you wouldn't count it against an old man who can hardly see."" Did he know that his opponents thought it as well to keep on the right side of him and hesitated to insist on the rigour of the game? Mackintosh watched him with an icy contempt. When the game was over, while they smoked their pipes and drank whisky, they would begin telling stories."
26854,33,"When the game was over, while they smoked their pipes and drank whisky, they would begin telling stories. Walker told with gusto the story of his marriage. He had got so drunk at the wedding feast that the bride had fled and he had never seen her since. He had had numberless adventures, commonplace and sordid, with the women of the island and he described them with a pride in his own prowess which was an offence to Mackintosh's fastidious ears. He was a gross, sensual old man."
26854,34,"He was a gross, sensual old man. He thought Mackintosh a poor fellow because he would not share his promiscuous amours and remained sober when the company was drunk.

 He despised him also for the orderliness with which he did his official work. Mackintosh liked to do everything just so. His desk was always tidy, his papers were always neatly docketed, he could put his hand on any document that was needed, and he had at his fingers' ends all the regulations that were required for the business of their administration.

"
26854,35,"His desk was always tidy, his papers were always neatly docketed, he could put his hand on any document that was needed, and he had at his fingers' ends all the regulations that were required for the business of their administration.

 ""Fudge, fudge,"" said Walker. ""I've run this island for twenty years without red tape, and I don't want it now.""

 ""Does it make it any easier for you that when you want a letter you have to hunt half an hour for it?"" answered Mackintosh.

 ""You're nothing but a damned official."
26854,36,"""You're nothing but a damned official. But you're not a bad fellow; when you've been out here a year or two you'll be all right. What's wrong about you is that you won't drink. You wouldn't be a bad sort if you got soused once a week. ""

"
26854,37,"""

 The curious thing was that Walker remained perfectly unconscious of the dislike for him which every month increased in the breast of his subordinate. Although he laughed at him, as he grew accustomed to him, he began almost to like him. He had a certain tolerance for the peculiarities of others, and he accepted Mackintosh as a queer fish. Perhaps he liked him, unconsciously, because he could chaff him."
26854,38,"Perhaps he liked him, unconsciously, because he could chaff him. His humour consisted of coarse banter and he wanted a butt. Mackintosh's exactness, his morality, his sobriety, were all fruitful subjects; his Scot's name gave an opportunity for the usual jokes about Scotland; he enjoyed himself thoroughly when two or three men were there and he could make them all laugh at the expense of Mackintosh. He would say ridiculous things about him to the natives, and Mackintosh, his knowledge of Samoan still imperfect, would see their unrestrained mirth when Walker had made an obscene reference to him. He smiled good-humouredly.

"
26854,39,"He smiled good-humouredly.

 ""I'll say this for you, Mac,"" Walker would say in his gruff loud voice, ""you can take a joke. ""

""Was it a joke?"" smiled Mackintosh. ""I didn't know. ""

""Scots wha hae!"" shouted Walker, with a bellow of laughter."
26854,40,"""

""Scots wha hae!"" shouted Walker, with a bellow of laughter. ""There's only one way to make a Scotchman see a joke and that's by a surgical operation. ""

Walker little knew that there was nothing Mackintosh could stand less than chaff. He would wake in the night, the breathless night of the rainy season, and brood sullenly over the gibe that Walker had uttered carelessly days before. It rankled."
26854,41,"It rankled. His heart swelled with rage, and he pictured to himself ways in which he might get even with the bully. He had tried answering him, but Walker had a gift of repartee, coarse and obvious, which gave him an advantage. The dullness of his intellect made him impervious to a delicate shaft. His self-satisfaction made it impossible to wound him."
26854,42,"His self-satisfaction made it impossible to wound him. His loud voice, his bellow of laughter, were weapons against which Mackintosh had nothing to counter, and he learned that the wisest thing was never to betray his irritation. He learned to control himself. But his hatred grew till it was a monomania. He watched Walker with an insane vigilance."
26854,43,"He watched Walker with an insane vigilance. He fed his own self-esteem by every instance of meanness on Walker's part, by every exhibition of childish vanity, of cunning and of vulgarity. Walker ate greedily, noisily, filthily, and Mackintosh watched him with satisfaction. He took note of the foolish things he said and of his mistakes in grammar. He knew that Walker held him in small esteem, and he found a bitter satisfaction in his chief's opinion of him; it increased his own contempt for the narrow, complacent old man."
26854,44,"He knew that Walker held him in small esteem, and he found a bitter satisfaction in his chief's opinion of him; it increased his own contempt for the narrow, complacent old man. And it gave him a singular pleasure to know that Walker was entirely unconscious of the hatred he felt for him. He was a fool who liked popularity, and he blandly fancied that everyone admired him. Once Mackintosh had overheard Walker speaking of him.

 ""He'll be all right when I've licked him into shape,"" he said."
26854,45,"""He'll be all right when I've licked him into shape,"" he said. ""He's a good dog and he loves his master. ""

Mackintosh silently, without a movement of his long, sallow face, laughed long and heartily.

 But his hatred was not blind; on the contrary, it was peculiarly clear-sighted, and he judged Walker's capabilities with precision. He ruled his small kingdom with efficiency."
26854,46,"He ruled his small kingdom with efficiency. He was just and honest. With opportunities to make money he was a poorer man than when he was first appointed to his post, and his only support for his old age was the pension which he expected when at last he retired from official life. His pride was that with an assistant and a half-caste clerk he was able to administer the island more competently than Upolu, the island of which Apia is the chief town, was administered with its army of functionaries. He had a few native policemen to sustain his authority, but he made no use of them."
26854,47,"He had a few native policemen to sustain his authority, but he made no use of them. He governed by bluff and his Irish humour.

 ""They insisted on building a jail for me,"" he said. ""What the devil do I want a jail for? I'm not going to put the natives in prison."
26854,48,"I'm not going to put the natives in prison. If they do wrong I know how to deal with them. ""

One of his quarrels with the higher authorities at Apia was that he claimed entire jurisdiction over the natives of his island. Whatever their crimes he would not give them up to courts competent to deal with them, and several times an angry correspondence had passed between him and the Governor at Upolu. For he looked upon the natives as his children."
26854,49,"For he looked upon the natives as his children. And that was the amazing thing about this coarse, vulgar, selfish man; he loved the island on which he had lived so long with passion, and he had for the natives a strange rough tenderness which was quite wonderful.

 He loved to ride about the island on his old grey mare and he was never tired of its beauty. Sauntering along the grassy roads among the coconut trees he would stop every now and then to admire the loveliness of the scene. Now and then he would come upon a native village and stop while the head man brought him a bowl of _kava_."
26854,50,"Now and then he would come upon a native village and stop while the head man brought him a bowl of _kava_. He would look at the little group of bell-shaped huts with their high thatched roofs, like beehives, and a smile would spread over his fat face. His eyes rested happily on the spreading green of the bread-fruit trees.

 ""By George, it's like the garden of Eden.""

 Sometimes his rides took him along the coast and through the trees he had a glimpse of the wide sea, empty, with never a sail to disturb the loneliness; sometimes he climbed a hill so that a great stretch of country, with little villages nestling among the tall trees, was spread out before him like the kingdom of the world, and he would sit there for an hour in an ecstasy of delight."
26854,51,"Sometimes his rides took him along the coast and through the trees he had a glimpse of the wide sea, empty, with never a sail to disturb the loneliness; sometimes he climbed a hill so that a great stretch of country, with little villages nestling among the tall trees, was spread out before him like the kingdom of the world, and he would sit there for an hour in an ecstasy of delight. But he had no words to express his feelings and to relieve them would utter an obscene jest; it was as though his emotion was so violent that he needed vulgarity to break the tension.

 Mackintosh observed this sentiment with an icy disdain. Walker had always been a heavy drinker, he was proud of his capacity to see men half his age under the table when he spent a night in Apia, and he had the sentimentality of the toper. He could cry over the stories he read in his magazines and yet would refuse a loan to some trader in difficulties whom he had known for twenty years."
26854,52,"He could cry over the stories he read in his magazines and yet would refuse a loan to some trader in difficulties whom he had known for twenty years. He was close with his money. Once Mackintosh said to him:

""No one could accuse you of giving money away. ""

He took it as a compliment. His enthusiasm for nature was but the drivelling sensibility of the drunkard."
26854,53,"His enthusiasm for nature was but the drivelling sensibility of the drunkard. Nor had Mackintosh any sympathy for his chief's feelings towards the natives. He loved them because they were in his power, as a selfish man loves his dog, and his mentality was on a level with theirs. Their humour was obscene and he was never at a loss for the lewd remark. He understood them and they understood him."
26854,54,"He understood them and they understood him. He was proud of his influence over them. He looked upon them as his children and he mixed himself in all their affairs. But he was very jealous of his authority; if he ruled them with a rod of iron, brooking no contradiction, he would not suffer any of the white men on the island to take advantage of them. He watched the missionaries suspiciously and, if they did anything of which he disapproved, was able to make life so unendurable to them that if he could not get them removed they were glad to go of their own accord."
26854,55,"He watched the missionaries suspiciously and, if they did anything of which he disapproved, was able to make life so unendurable to them that if he could not get them removed they were glad to go of their own accord. His power over the natives was so great that on his word they would refuse labour and food to their pastor. On the other hand he showed the traders no favour. He took care that they should not cheat the natives; he saw that they got a fair reward for their work and their copra and that the traders made no extravagant profit on the wares they sold them. He was merciless to a bargain that he thought unfair."
26854,56,"He was merciless to a bargain that he thought unfair. Sometimes the traders would complain at Apia that they did not get fair opportunities. They suffered for it. Walker then hesitated at no calumny, at no outrageous lie, to get even with them, and they found that if they wanted not only to live at peace, but to exist at all, they had to accept the situation on his own terms. More than once the store of a trader obnoxious to him had been burned down, and there was only the appositeness of the event to show that the administrator had instigated it."
26854,57,"More than once the store of a trader obnoxious to him had been burned down, and there was only the appositeness of the event to show that the administrator had instigated it. Once a Swedish half-caste, ruined by the burning, had gone to him and roundly accused him of arson. Walker laughed in his face.

 ""You dirty dog. Your mother was a native and you try to cheat the natives."
26854,58,"Your mother was a native and you try to cheat the natives. If your rotten old store is burned down it's a judgment of Providence; that's what it is, a judgment of Providence. Get out. ""

And as the man was hustled out by two native policemen the administrator laughed fatly.

 ""A judgment of Providence."
26854,59,"""A judgment of Providence. ""

And now Mackintosh watched him enter upon the day's work. He began with the sick, for Walker added doctoring to his other activities, and he had a small room behind the office full of drugs. An elderly man came forward, a man with a crop of curly grey hair, in a blue _lava-lava_, elaborately tatooed, with the skin of his body wrinkled like a wine-skin.

 ""What have you come for?"""
26854,60,"""What have you come for?"" Walker asked him abruptly.

 In a whining voice the man said that he could not eat without vomiting and that he had pains here and pains there.

 ""Go to the missionaries,"" said Walker. ""You know that I only cure children."
26854,61,"""You know that I only cure children. ""

""I have been to the missionaries and they do me no good.""

 ""Then go home and prepare yourself to die. Have you lived so long and still want to go on living? You're a fool."
26854,62,"You're a fool. ""

 The man broke into querulous expostulation, but Walker, pointing to a woman with a sick child in her arms, told her to bring it to his desk. He asked her questions and looked at the child.

 ""I will give you medicine,"" he said."
26854,63,"""I will give you medicine,"" he said. He turned to the half-caste clerk. ""Go into the dispensary and bring me some calomel pills. ""

He made the child swallow one there and then and gave another to the mother.

 ""Take the child away and keep it warm."
26854,64,"""Take the child away and keep it warm. To-morrow it will be dead or better. ""

He leaned back in his chair and lit his pipe.

 ""Wonderful stuff, calomel. I've saved more lives with it than all the hospital doctors at Apia put together."
26854,65,"I've saved more lives with it than all the hospital doctors at Apia put together. ""

Walker was very proud of his skill, and with the dogmatism of ignorance had no patience with the members of the medical profession.

 ""The sort of case I like,"" he said, ""is the one that all the doctors have given up as hopeless. When the doctors have said they can't cure you, I say to them, 'come to me.' Did I ever tell you about the fellow who had a cancer?""

""Frequently,"" said Mackintosh.

"
26854,66,"Did I ever tell you about the fellow who had a cancer?""

""Frequently,"" said Mackintosh.

 ""I got him right in three months. ""

""You've never told me about the people you haven't cured. ""

He finished this part of the work and went on to the rest. It was a queer medley."
26854,67,"It was a queer medley. There was a woman who could not get on with her husband and a man who complained that his wife had run away from him.

 ""Lucky dog,"" said Walker. ""Most men wish their wives would too. ""

There was a long complicated quarrel about the ownership of a few yards of land."
26854,68,"""

There was a long complicated quarrel about the ownership of a few yards of land. There was a dispute about the sharing out of a catch of fish. There was a complaint against a white trader because he had given short measure. Walker listened attentively to every case, made up his mind quickly, and gave his decision. Then he would listen to nothing more; if the complainant went on he was hustled out of the office by a policeman."
26854,69,"Then he would listen to nothing more; if the complainant went on he was hustled out of the office by a policeman. Mackintosh listened to it all with sullen irritation. On the whole, perhaps, it might be admitted that rough justice was done, but it exasperated the assistant that his chief trusted his instinct rather than the evidence. He would not listen to reason. He browbeat the witnesses and when they did not see what he wished them to called them thieves and liars.

"
26854,70,"He browbeat the witnesses and when they did not see what he wished them to called them thieves and liars.

 He left to the last a group of men who were sitting in the corner of the room. He had deliberately ignored them. The party consisted of an old chief, a tall, dignified man with short, white hair, in a new _lava-lava_, bearing a huge fly wisp as a badge of office, his son, and half a dozen of the important men of the village. Walker had had a feud with them and had beaten them."
26854,71,"Walker had had a feud with them and had beaten them. As was characteristic of him he meant now to rub in his victory, and because he had them down to profit by their helplessness. The facts were peculiar. Walker had a passion for building roads. When he had come to Talua there were but a few tracks here and there, but in course of time he had cut roads through the country, joining the villages together, and it was to this that a great part of the island's prosperity was due."
26854,72,"When he had come to Talua there were but a few tracks here and there, but in course of time he had cut roads through the country, joining the villages together, and it was to this that a great part of the island's prosperity was due. Whereas in the old days it had been impossible to get the produce of the land, copra chiefly, down to the coast where it could be put on schooners or motor launches and so taken to Apia, now transport was easy and simple. His ambition was to make a road right round the island and a great part of it was already built.

 ""In two years I shall have done it, and then I can die or they can fire me, I don't care. ""

"
26854,73,"""

 His roads were the joy of his heart and he made excursions constantly to see that they were kept in order. They were simple enough, wide tracks, grass covered, cut through the scrub or through the plantations; but trees had to be rooted out, rocks dug up or blasted, and here and there levelling had been necessary. He was proud that he had surmounted by his own skill such difficulties as they presented. He rejoiced in his disposition of them so that they were not only convenient, but showed off the beauties of the island which his soul loved."
26854,74,"He rejoiced in his disposition of them so that they were not only convenient, but showed off the beauties of the island which his soul loved. When he spoke of his roads he was almost a poet. They meandered through those lovely scenes, and Walker had taken care that here and there they should run in a straight line, giving you a green vista through the tall trees, and here and there should turn and curve so that the heart was rested by the diversity. It was amazing that this coarse and sensual man should exercise so subtle an ingenuity to get the effects which his fancy suggested to him. He had used in making his roads all the fantastic skill of a Japanese gardener."
26854,75,"He had used in making his roads all the fantastic skill of a Japanese gardener. He received a grant from headquarters for the work but took a curious pride in using but a small part of it, and the year before had spent only a hundred pounds of the thousand assigned to him.

 ""What do they want money for?"" he boomed. ""They'll only spend it on all kinds of muck they don't want; what the missionaries leave them, that is to say. ""

For no particular reason, except perhaps pride in the economy of his administration and the desire to contrast his efficiency with the wasteful methods of the authorities at Apia, he got the natives to do the work he wanted for wages that were almost nominal."
26854,76,"""

For no particular reason, except perhaps pride in the economy of his administration and the desire to contrast his efficiency with the wasteful methods of the authorities at Apia, he got the natives to do the work he wanted for wages that were almost nominal. It was owing to this that he had lately had difficulty with the village whose chief men now were come to see him. The chief's son had been in Upolu for a year and on coming back had told his people of the large sums that were paid at Apia for the public works. In long, idle talks he had inflamed their hearts with the desire for gain. He held out to them visions of vast wealth and they thought of the whisky they could buy--it was dear, since there was a law that it must not be sold to natives, and so it cost them double what the white man had to pay for it--they thought of the great sandal-wood boxes in which they kept their treasures, and the scented soap and potted salmon, the luxuries for which the Kanaka will sell his soul; so that when the administrator sent for them and told them he wanted a road made from their village to a certain point along the coast and offered them twenty pounds, they asked him a hundred."
26854,77,"He held out to them visions of vast wealth and they thought of the whisky they could buy--it was dear, since there was a law that it must not be sold to natives, and so it cost them double what the white man had to pay for it--they thought of the great sandal-wood boxes in which they kept their treasures, and the scented soap and potted salmon, the luxuries for which the Kanaka will sell his soul; so that when the administrator sent for them and told them he wanted a road made from their village to a certain point along the coast and offered them twenty pounds, they asked him a hundred. The chief's son was called Manuma. He was a tall, handsome fellow, copper-coloured, with his fuzzy hair dyed red with lime, a wreath of red berries round his neck, and behind his ear a flower like a scarlet flame against his brown face. The upper part of his body was naked, but to show that he was no longer a savage, since he had lived in Apia, he wore a pair of dungarees instead of a _lava-lava_. He told them that if they held together the administrator would be obliged to accept their terms."
26854,78,"He told them that if they held together the administrator would be obliged to accept their terms. His heart was set on building the road and when he found they would not work for less he would give them what they asked. But they must not move; whatever he said they must not abate their claim; they had asked a hundred and that they must keep to. When they mentioned the figure, Walker burst into a shout of his long, deep-voiced laughter. He told them not to make fools of themselves, but to set about the work at once."
